Alter;2008;2010;2011;2012;2013;Geschlecht
10-15;93;95;95;97;98;m
16-24;97;98;98;98;99;m
25-44;92;95;96;98;98;m
45-64;75;80;82;87;88;m
65+;32;42;43;47;52;m
10-15;93;96;96;97;98;w
16-24;96;98;99;99;99;w
25-44;90;95;96;98;98;w
45-64;67;71;75;82;84;w
65+;14;23;22;26;32;w
